"delivery_date","caixas_corretas","caixas_erradas"
2026-08-25,179,57
2026-08-27,551,3
2026-08-31,6365,28
2026-09-01,129,17
2026-09-09,2578,6
2026-09-10,2162,6
2026-09-14,1786,23
2026-09-15,2678,2
2026-09-16,2683,5
2026-09-17,3545,1
2026-09-18,1164,2
2026-09-21,2162,9
2026-09-22,3950,41
2026-09-23,4942,7
2026-09-03,2357,0
2026-09-02,926,0
2026-09-08,2424,0
2026-09-04,473,0
2026-09-24,119,0
2026-08-28,260,0
